Name,Expected Health,# of Commits (90 days),CoVar of Commit Times (90 days),# of Tags (90 days),# of Contributors (90 days),CoVar of Commits per Contributor (90 days),K-means Group
torvalds/linux,Active,15902,2.877314656,11,2262,3.026730702,
systemd/systemd,Active,2286,2.062753827,5,168,3.984237272,
landley/toybox,Mature/Slow,24,2.891638829,0,4,1.443375673,
curl/curl,Active,820,1.631172186,0,45,3.767686825,
openssl/openssl,Active,670,1.649586214,0,127,2.407167955,
openssh/openssh-portable,Mature/Slow,127,1.756324981,0,15,1.583949815,
libressl-portable/portable,Mature/Slow,65,1.708544853,0,5,0.8931030938,
madler/zlib,At Risk,38,3.098493166,0,6,1.6093563,
libexpat/libexpat,At Risk,188,2.358364659,0,7,1.944991013,
libffi/libffi,At Risk,10,1.460187154,0,7,0.7348469228,
kubernetes/kubernetes,Active,2089,2.280312283,3,226,5.915682091,
prometheus/prometheus,Active,564,2.489533525,0,83,3.008909653,
hashicorp/terraform,Mature/Slow,366,2.779822056,0,24,1.475440194,
python/cpython,Active,1177,1.493804522,4,274,2.322979171,
rust-lang/rust,Active,7475,1.618001381,0,459,4.0217543,
golang/go,Active,727,1.730889428,0,130,1.777228718,
lua/lua,At Risk,17,1.181104279,0,1,0,
westes/flex,At Risk,7,0.9047963991,0,3,0.8081220356,
akimd/bison,Mature/Slow,0,0,0,0,0,
git/git,Mature/Slow,732,6.333223338,4,88,3.36351116,
neovim/neovim,Active,1182,1.423794839,0,119,4.052368336,
jqlang/jq,At Risk,45,1.864270494,0,10,1.727768846,
tmux/tmux,Mature/Slow,193,2.340570611,0,4,0.9448112296,
davatorium/rofi,At Risk,7,0.9074896995,0,5,0.5714285714,
numpy/numpy,Active,460,1.680663059,0,72,2.372272088,
pallets/flask,Mature/Slow,32,2.129648728,0,1,0,
expressjs/express,At Risk,14,1.402660499,0,9,1.010152545,
cuthbertlab/music21,Mature/Slow,70,4.825402792,0,2,0.9714285714,
markdown-it/markdown-it,At Risk,4,1.227305115,0,1,0,
aflplusplus/aflplusplus,Active,179,2.551175074,0,21,2.996872167,
zmap/zmap,At Risk,8,1.186748864,0,2,0.25,
nmap/nmap,Mature/Slow,128,1.936128767,0,3,1.186059982,
zephyrproject-rtos/zephyr,Active,4892,2.60923954,4,621,2.191527661,
contiki-ng/contiki-ng,At Risk,43,1.589199044,0,3,0.7734087976,
coreboot/coreboot,Mature/Slow,922,2.028710843,0,85,2.28892626,
